particle_name,particle_type,particle_family,particle_generation,color_charge,antiparticle_name,electric_charge_e,particle_spin_hbar,mass_eV_c2
electron,1,1,1,0,positron,-1,0.5,511000
electron neutrino,1,1,1,0,electron antineutrino,0,0.5,0.161
muon,1,1,2,0,antimuon,-1,0.5,105660000
muon neutrino,1,1,2,0,muon antineutrino,0,0.5,0.161
tauon,1,1,3,0,antitau,-1,0.5,1776860000
tauon neutrino,1,1,3,0,tau antineutrino,0,0.5,0.161
up quark,1,2,1,1,up antiquark,0.66,0.5,2200000
down quark,1,2,1,1,down antiquark,-0.33,0.5,4700000
charm quark,1,2,2,1,charm antiquark,0.66,0.5,1270000000
strange quark,1,2,2,1,strange antiquark,-0.33,0.5,95000000
top quark,1,2,3,1,top antiquark,0.66,0.5,1.7276000000
bottom quark,1,2,3,1,bottom antiquark,-0.33,0.5,4180000000
photon,2,3,null,0,photon,0,1,0
W boson,2,3,null,0,W+ boson,1,1,80377000
Z boson,2,3,null,0,Z boson,0,1,91187600
gluon,2,3,null,1,gluon,0,1,0
Higgs boson,2,4,null,0,Higgs boson,0,0,125110000
